,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Stephen Thompson,73,64,85,5,23,7
Rampage Jackson,82,77,86,0,0,1
Danny Martinez,67,46,78,34,12,4
Ricardo Lamas,73,54,80,39,29,6
Chris Indich,63,64,83,1,1,2
Nathan Coy,82,64,83,6,12,3
Hernani Perpetuo,67,64,85,1,5,2
Tyron Woodley,73,64,82,12,23,7
Saparbeg Safarov,65,77,86,0,41,1
Gilbert Melendez,73,58,82,16,37,3
Gerald Meerschaert,63,70,86,2,2,2
Erik Koch,60,58,83,0,0,3
George Roop,76,50,84,3,5,3
Renee Forte,63,58,79,0,0,1
Andrei Arlovski,82,90,90,3,19,8
Filip Pejic,52,50,83,0,0,1
Marcin Bandel,58,58,83,0,0,1
Wagner Silva,65,64,85,1,1,2
Bojan Velickovic,60,70,85,11,6,3
Ronda Rousey,65,50,79,2,8,6
Karolina Kowalkiewicz,67,43,75,1,43,4
Robert Peralta,67,54,80,1,1,3
Akira Corassani,73,54,80,1,4,3
Alexander Gustafsson,65,77,91,9,14,4
Santiago Ponzinibbio,65,64,85,7,13,5
Henry Briones,78,50,80,0,8,3
Carlos Condit,69,64,87,4,16,4
Thiago Tavares,69,54,79,23,2,4
Darren Elkins,69,54,83,89,29,7
Enrique Marin,65,64,83,4,3,2
Guilherme Vasconcelos,67,70,85,0,0,1
Chris Clements,89,64,83,0,11,2
Roger Narvaez,71,70,89,1,20,3
Elizeu Zaleski dos Santos,65,64,84,6,6,3
Dan Miller,76,70,86,0,0,1
Tim Elliott,65,46,79,5,87,2
Oluwale Bamgbose,63,70,84,0,11,3
Yui Chul Nam,76,54,82,1,4,2
Chris Camozzi,65,70,87,11,15,8
Josh Emmett,69,58,80,15,22,3
Marcin Held,54,58,82,2,8,2
Rodrigo Damm,80,58,79,6,3,3
Joe Soto,65,50,78,24,13,6
Jessin Ayari,52,64,85,0,0,1
Sirwan Kakai,58,50,78,14,21,2
Ron Stallings,73,70,85,0,5,3
Vinc Pichel,73,58,83,17,0,2
Ricardo Ramos,45,50,82,0,0,1
Rick Story,69,64,83,12,20,4
