,_Age,_Weight,_Height,_avg_td_att,_avg_sig_str,_fights
Alex Oliveira,63,64,84,66,27,9
Joaquim Silva,60,58,80,0,5,2
Glover Teixeira,80,77,87,37,26,7
Jake Ellenberger,67,64,82,14,11,7
Alessio Di Chirico,58,70,85,11,1,3
Francisco Trevino,76,58,82,15,9,3
Paulo Thiago,78,64,84,10,6,2
CM Punk,82,64,86,0,0,1
Cody Gibson,63,50,83,14,3,4
Germaine de Randamie,69,54,82,0,21,3
Cub Swanson,71,54,80,9,24,6
Paige VanZant,47,43,76,0,4,2
Ruon Potts,84,93,87,0,0,1
Albert Morales,54,50,82,3,18,3
Sean Soriano,58,54,82,0,2,3
Danny Mitchell,65,64,87,1,3,2
Fabricio Camoes,82,58,83,0,0,1
Kyle Noke,80,64,86,4,25,5
Kazuki Tokudome,65,58,84,10,0,2
Max Holloway,54,54,84,4,52,10
Jack Hermansson,60,70,86,8,23,2
Evan Dunham,76,58,83,23,14,5
Lina Lansberg,76,52,79,1,6,2
Viktor Pesta,56,90,89,61,4,5
JJ Aldrich,52,43,77,0,21,1
Eddie Wineland,69,50,79,4,20,5
Dashon Johnson,63,54,79,1,0,2
Anton Zafir,63,64,84,4,5,2
Arnold Allen,50,54,80,5,2,2
Seth Baczynski,76,64,89,17,17,3
Andrew Sanchez,60,70,86,23,6,3
Rodrigo de Lima,56,58,79,4,16,2
Court McGee,69,64,84,46,11,4
Lucie Pudilova,47,50,84,0,9,1
Stipe Miocic,73,90,90,43,11,7
Pearl Gonzalez,65,43,76,0,4,1
Ben Saunders,71,64,87,0,14,5
Joe Ellenberger,67,58,82,14,1,2
Ovince Saint Preux,71,77,89,23,26,9
Alberto Uda,69,70,89,2,8,2
Marcos Rogerio de Lima,67,77,86,0,0,3
Minotauro Nogueira,86,90,89,0,0,2
Clay Collard,52,54,84,38,30,4
Rose Namajunas,52,43,77,17,17,5
Krzysztof Jotko,58,70,86,14,8,6
Michael Bisping,82,70,86,4,22,8
Anderson Silva,89,70,87,0,21,4
Antonio Carlos Junior,58,70,87,47,11,7
Frankie Perez,58,58,84,7,6,3
Drakkar Klose,63,58,80,0,0,1
Misha Cirkunov,65,77,89,20,12,4
Davey Grant,67,50,80,7,6,2
Alex Chambers,82,43,75,1,1,2
Dylan Andrews,80,70,86,4,0,2
Derek Brunson,71,70,86,44,15,8
Renato Moicano,58,54,84,3,17,3
Emily Peters Kagan,76,43,75,0,15,1
Max Griffin,67,64,84,0,13,2
Iuri Alcantara,78,50,82,21,30,8
Bigfoot Silva,80,99,90,0,0,1
Rick Glenn,58,58,85,4,30,2
Martin Bravo,50,58,80,0,0,1
Bruno Santos,63,70,82,8,5,2
Alexandre Pantoja,56,46,77,0,0,1
Anna Elmose,69,43,75,7,2,2
Daniel Jolly,69,77,86,0,1,2
Shamil Abdurakhimov,76,88,89,11,9,2
Nina Ansaroff,67,43,77,3,7,3
Damien Brown,69,58,83,5,6,3
Teruto Ishihara,54,54,79,0,15,3
Cristiano Marcello,84,58,82,0,0,1
Mickey Gall,54,64,87,0,3,3
Chris Cariaso,76,46,75,4,32,5
Michael Graves,56,64,83,26,4,3
Ulka Sasaki,58,46,83,23,12,4
Izabela Badurek,54,43,76,0,0,1
Aljamain Sterling,58,50,79,53,29,7
Tim Boetsch,78,70,85,15,15,8
Jared Cannonier,71,77,84,1,23,3
Vitor Belfort,84,70,85,0,11,5
Jordan Mein,58,64,85,8,6,4
Russell Doane,65,54,79,37,4,6
Josh Copeland,73,92,86,0,11,2
Donald Cerrone,71,64,86,33,57,13
Benson Henderson,71,64,82,20,41,6
Caio Magalhaes,63,70,86,0,10,4
Akbarh Arreola,73,58,83,5,10,4
Tyson Pedro,54,77,89,2,1,2
Abner Lloveras,73,58,84,0,0,1
Marcus Brimage,67,50,76,3,5,3
Anthony Johnson,71,77,87,11,12,7
Rashad Evans,80,70,85,5,20,3
Clint Hester,65,77,87,15,5,5
Alex Garcia,63,64,82,49,11,5
Daron Cruickshank,67,58,80,33,18,8
Li Jingliang,63,64,85,1,0,2
Frankie Saenz,78,50,78,21,29,6
Cezar Ferreira,69,70,86,23,28,8
Shane Burgos,56,54,84,1,21,2
Leo Kuntz,71,58,83,0,0,1
Kenny Robertson,71,64,83,25,2,5
Maryna Moroz,54,43,79,2,20,4
Zak Ottow,65,64,84,2,21,2
Yves Edwards,86,58,82,1,4,2
Claudio Silva,73,64,84,22,1,2
Manvel Gamburyan,76,50,77,23,5,4
Elizabeth Phillips,65,50,78,9,22,4
Brian Camozzi,54,64,87,0,13,1
Patrick Cummins,78,77,87,89,8,9
Alptekin Ozkilic,65,46,77,31,17,3
Augusto Montano,69,64,86,0,7,3
Rafael dos Anjos,69,58,82,13,20,6
Alexander Volkov,60,94,93,2,7,2
Tom Niinimaki,73,54,82,13,0,3
Michel Prazeres,76,58,78,67,21,5
Paul Redmond,65,54,82,2,5,2
Thomas Almeida,54,50,79,0,27,6
Diego Brandao,63,54,79,8,6,4
Mehdi Baghdad,67,58,86,0,66,2
Junior Hernandez,65,50,82,0,0,1
Geane Herrera,56,46,77,2,17,4
Lorenz Larkin,65,64,84,2,24,8
Darrell Horcher,63,58,83,0,5,1
Albert Tumenov,54,64,84,6,18,8
Emil Meek,60,64,84,0,11,1
Anthony Njokuani,80,58,86,0,11,2
Phillipe Nover,71,54,82,9,37,3
Luke Barnatt,60,70,92,2,10,4
Chris de la Rocha,80,100,90,0,7,2
Chris Heatherly,63,64,82,1,0,2
Rony Jason,71,54,79,10,11,5
Daniel Sarafian,73,70,82,1,1,3
Tom Lawlor,71,77,85,0,20,1
Thiago Santos,71,70,85,7,19,9
Guido Cannetti,80,50,78,2,13,2
James Vick,65,58,89,3,17,6
Warlley Alves,56,64,84,14,12,6
Ashlee Evans-Smith,63,50,80,8,14,3
Jake Lindsey,65,58,84,2,6,2
Kelly Faszholz,67,50,80,2,10,2
Chris Beal,67,50,79,14,10,5
Chris Holdsworth,63,50,84,0,0,1
Cristina Stanciu,47,43,77,1,19,2
Justin Edwards,73,58,83,0,7,2
Miesha Tate,65,50,78,41,26,7
Steven Siler,65,54,84,0,1,2
Eddie Gordon,71,70,85,5,1,4
Jeremy Stephens,65,54,82,30,41,7
Josh Stansbury,69,77,87,2,3,2
Paddy Holohan,60,46,83,31,14,3
Sam Sicilia,67,54,80,24,15,7
Gian Villante,67,77,89,35,15,7
Dominic Waters,58,64,86,9,19,3
Josh Sampo,69,46,76,0,0,1
Elias Theodorou,60,70,86,42,41,6
Jarjis Danho,71,100,87,0,12,2
Damon Jackson,60,54,84,13,7,3
Kwan Ho Kwak,58,50,79,0,0,1
Gina Mazany,60,50,78,0,33,1
Mizuto Hirota,76,54,79,0,34,1
Frankie Edgar,76,54,78,59,26,6
Raphael Assuncao,73,50,77,13,39,3
Patrick Walsh,60,70,84,0,0,1
Gray Maynard,80,54,80,39,9,4
Patrick Cote,80,64,84,56,32,7
Mitch Clarke,67,58,83,3,6,3
Keita Nakamura,69,64,84,13,17,3
Demian Maia,84,64,86,88,7,6
Andre Soukhamthath,60,50,82,0,10,1
Jenel Lausa,60,46,77,1,3,2
Isaac Vallie-Flagg,82,58,80,3,0,3
Anthony Perosh,95,77,89,3,0,3
Pedro Munhoz,65,50,78,14,9,5
Sam Alvey,65,70,87,0,19,9
Ericka Almeida,60,43,78,2,11,2
Andy Enz,54,70,89,1,4,3
Alexandra Albu,56,43,75,0,0,1
Justine Kish,60,43,77,14,6,2
Shawn Jordan,69,98,85,13,3,4
Bobby Green,65,58,83,7,21,4
Yusuke Kasuya,58,58,79,5,18,2
Ryan Bader,71,77,87,68,15,6
Edgar Garcia,71,64,83,2,9,2
Jacare Souza,80,70,86,45,16,7
Tim Means,71,64,87,30,36,10
Tiago Trator,63,54,82,5,24,4
Yuta Sasaki,58,46,83,0,0,1
Bryan Barberena,58,64,85,7,17,5
Leandro Silva,67,58,82,41,12,7
