B_Age,B_Weight,B_Height,B_avg_td_att,B_avg_sig_str,B_fights,R_Age,R_Weight,R_Height,R_avg_td_att,R_avg_sig_str,R_fights,winner
63,64,83,13,10,3,69,64,85,15,16,7,red
78,50,80,0,8,3,54,50,80,14,13,5,red
67,64,83,2,12,2,69,64,89,0,18,4,red
78,64,85,14,30,6,71,64,86,33,57,13,red
60,58,82,5,48,3,52,58,82,70,31,9,red
58,58,84,7,6,3,69,58,82,0,7,3,blue
73,64,84,29,2,4,71,64,85,5,15,3,red
78,54,82,25,6,5,69,46,78,10,19,5,no contest
71,70,86,44,15,8,65,64,84,2,24,8,blue
78,100,90,10,29,8,80,99,89,10,5,5,blue
54,64,84,6,18,8,65,64,84,2,24,8,blue
78,98,91,21,26,6,73,93,85,10,16,7,blue
76,70,84,13,18,5,73,70,85,85,25,7,red
73,50,79,7,10,3,60,54,83,10,28,8,blue
71,77,87,11,12,7,69,77,87,33,18,3,blue
71,58,80,26,15,9,69,58,83,27,4,7,blue
54,70,82,15,19,9,84,70,85,0,11,5,blue
73,58,84,2,33,2,69,58,84,10,33,8,red
71,50,79,9,7,6,69,50,79,4,20,5,red
80,58,85,0,16,2,69,58,84,0,14,2,red
58,50,79,53,29,7,73,50,78,0,16,3,blue
58,54,83,44,31,7,65,58,83,19,44,3,blue
56,64,85,0,0,2,69,64,84,0,0,1,blue
60,46,77,0,4,1,60,46,77,1,3,2,blue
52,64,85,0,0,1,71,64,83,0,0,1,blue
78,70,89,34,5,7,63,70,86,0,10,4,red
63,64,82,22,8,4,58,58,84,14,1,2,red
65,46,76,44,43,6,65,46,75,69,68,7,red
71,70,85,7,19,9,58,70,85,0,12,2,blue
73,50,77,28,4,5,58,50,78,6,3,5,red
54,50,79,0,27,6,82,50,78,67,24,8,blue
69,64,84,20,9,3,65,64,85,14,10,4,red
78,90,86,1,42,2,69,98,89,16,9,10,red
80,58,79,6,3,3,63,58,82,6,11,6,red
58,70,86,14,8,6,60,70,89,8,14,5,blue
60,58,80,22,16,7,67,58,82,7,15,5,red
56,64,84,14,12,6,58,64,85,0,0,1,blue
67,58,83,3,6,3,63,58,86,33,19,5,red
69,64,84,20,9,3,65,64,84,6,6,3,blue
69,58,82,5,15,4,60,58,84,20,10,4,blue
60,70,89,11,7,4,56,77,85,7,6,3,red
54,46,82,56,35,9,80,46,76,13,20,6,blue
65,58,80,0,2,2,58,58,83,5,6,3,red
65,50,79,1,19,2,69,50,77,12,19,3,blue
69,58,84,10,33,8,67,58,84,37,4,5,blue
73,50,82,12,12,6,65,50,84,11,14,3,blue
82,58,82,26,38,10,69,58,80,8,45,10,blue
80,77,86,5,18,5,71,77,89,23,26,9,blue
84,94,89,0,12,2,82,90,90,3,19,8,blue
73,64,84,0,0,1,76,64,83,18,8,4,red
54,64,84,6,18,8,54,64,85,13,16,7,red
76,70,89,5,6,3,80,70,86,45,16,7,red
54,54,84,4,52,10,71,54,80,9,24,6,blue
84,64,83,8,9,2,67,64,82,14,11,7,red
67,58,80,33,18,8,60,58,83,0,0,3,blue
65,50,78,24,13,6,69,50,78,42,6,6,blue
76,77,84,0,6,3,71,70,85,7,19,9,red
65,54,82,30,41,7,69,54,83,89,29,7,blue
63,58,86,33,19,5,71,58,80,26,15,9,blue
58,50,76,8,23,4,80,50,78,62,22,8,blue
67,58,83,2,10,2,82,58,82,26,38,10,red
63,64,82,49,11,5,80,64,86,0,0,1,blue
67,58,86,0,66,2,67,58,80,4,72,6,red
69,70,86,23,28,8,69,64,84,29,50,10,red
58,58,83,40,39,11,67,58,84,7,46,9,red
76,64,84,1,29,6,71,70,82,89,14,7,blue
60,43,78,2,11,2,63,43,73,8,4,3,red
67,50,77,1,19,3,69,50,78,8,11,4,red
67,46,76,61,30,5,69,46,76,19,34,5,red
69,98,85,13,3,4,82,100,89,0,6,4,red
76,58,83,23,14,5,67,58,84,7,46,9,red
71,58,82,0,0,1,65,58,83,12,27,6,red
76,64,87,6,4,6,69,58,84,0,14,2,red
65,54,79,37,4,6,78,50,82,21,30,8,red
63,70,84,0,11,3,73,70,82,1,1,3,blue
63,64,84,0,6,3,54,64,84,8,15,5,red
67,64,87,8,25,4,71,64,82,20,41,6,red
58,64,85,8,3,2,69,64,84,46,11,4,red
63,58,82,0,0,1,58,54,86,4,11,2,red
58,70,86,14,8,6,73,70,89,20,9,4,red
78,70,89,34,5,7,76,70,86,0,0,1,blue
76,54,82,1,4,2,65,58,84,10,0,2,blue
63,50,80,17,22,5,80,50,79,12,23,4,blue
82,54,79,72,14,6,76,54,79,43,7,5,red
65,50,80,5,11,4,65,50,78,24,13,6,blue
69,54,79,23,2,4,54,54,83,0,26,2,red
71,58,80,7,9,3,65,58,84,8,8,3,red
56,70,90,0,11,3,65,70,87,0,19,9,red
71,50,79,15,6,4,71,50,78,21,5,3,red
63,64,85,1,0,2,56,64,85,0,0,1,blue
60,58,77,0,12,1,58,58,79,5,18,2,blue
76,64,85,3,27,9,63,64,82,22,8,4,blue
80,46,76,13,20,6,56,46,77,22,37,7,red
78,64,83,29,25,5,80,64,84,56,32,7,red
63,64,89,91,28,12,71,70,82,89,14,7,blue
56,100,90,17,3,3,60,92,89,0,9,2,blue
76,70,86,23,15,7,67,70,87,20,15,11,red
63,58,83,0,5,1,71,58,80,20,6,6,red
54,46,82,56,35,9,71,46,78,31,9,3,blue
78,50,78,21,29,6,60,46,78,1,0,2,blue
65,50,78,0,13,6,65,50,78,41,26,7,red
69,50,80,29,14,4,58,50,80,11,13,4,blue
58,58,82,0,4,2,76,58,78,67,21,5,red
54,54,79,0,15,3,58,54,86,4,11,2,blue
73,64,85,17,14,5,63,64,85,22,15,6,blue
71,70,89,1,20,3,78,77,87,89,8,9,red
76,50,77,23,5,4,82,50,79,5,17,3,red
